NameEn,NameRu,NameUz
Deep plowing,Глубокая вспашка,Chuqur shudgorlash
Deep loosening,Глубокое рыхление,Chuqur yumshatish
Irrigation (watering),Ирригация (орошение),Irrigatsiya (sug‘orish)
Drainage reclamation,Дренажная мелиорация,Zovurlash melioratsiyasi
Application of organic and mineral fertilizers,Внесение органических и минеральных удобрений,Organik va mineral o‘g‘itlar kiritish
Crop rotation and green manure,Севооборот и сидерация,Almashlab ekish va siderat o‘stirish
Field planning,Планировка полей,Dalalarni tekislash
Creation of micro-relief for water drainage,Создание микрорельефа для стока воды,Suv oqimi uchun mikrorelef yaratish
Construction of irrigation furrows and ridges.,Устройство поливных борозд и гряд.,Sug‘orish egatlari va pushtalari barpo etish
Gypsum treatment of saline soils,Гипсование солонцов,Sho‘rtoblarni gipslash
Liming of acidic soils,Известкование кислых почв,Nordon tuproqlarni ohaklab ishlov berish
Chemical disinfection,Химическая дезинфекция,Kimyoviy zararsizlantirish
Creation of protective forest belts,Создание защитных лесополос,Himoya o‘rmon yo‘laklari yaratish
Greening of sandy and saline areas,Озеленение песчаных и засоленных участков,Qumli va sho‘rlangan maydonlarni ko‘kalamzorlashtirish
