NameEn,NameRu,NameUz
Deep plowing,Глубокая вспашка,Chuqur haydash
Disc harrowing,Дискование,Doiralash
Cultivation,Культивация,Kultivatsiya
Field leveling,Планировка полей,Dalalarni tekislash
Cutting irrigation furrows and temporary sprinklers,Нарезка поливных борозд и временных оросителей,Sug‘orish egatlari va muvaqqat sug‘orgichlarni ochish
Square-nest sowing,Квадратно-гнездовой посев,Kvadrat-uyalab ekish
Row sowing of grain crops,Рядовой посев зерновых культур,G‘alla ekinlarini qatorlab ekish
Wide-row sowing,Широкорядный посев ,Keng qatorlab ekish
Planting seedlings,Посадка рассады,Ko‘chat o‘tqazish
Moisture-charging irrigation,Влагозарядковые поливы,Nam to‘plovchi sug‘orishlar
Vegetation irrigation,Вегетационные поливы,Vegetatsiya sug‘orishlari
Drip irrigation,Капельное орошение,Tomchilatib sug‘orish
Sprinkler irrigation,Дождевание,Yomg‘irlatish
Flushing of saline soils,Промывка засоленных почв,Sho‘rlangan tuproqlarni yuvish
Installation of drainage systems,Устройство дренажных систем,Drenaj tizimlarining tuzilishi
Field leveling for gravity irrigation,Планировка полей под самотечное орошение,Dalalarni o‘z oqimi bilan sug‘orish uchun tekislash
