NameEn,NameRu,NameUz
Inter-row cultivation,Междурядные культивации,Qator oralarini kultivatsiya qilish
Hilling,Окучивание,O‘toq qilish
Thinning,Прореживание,Siyraklashtirish
Pruning,Чеканка ,Uchini chiqarish
Pest control,Обработка против вредителей,Zararkunandalarga qarshi kurashish
Weed control,Борьба с сорняками,Begona o‘tlarni yo‘qotish
Prevention of fungal diseases,Профилактика грибковых заболеваний,Zamburug‘li kasalliklarning oldini olish
Pre-sowing seed treatment,Предпосевная обработка семян,Urug‘larni ekishdan oldin ishlov berish
Shrub formation by removing excess shoots,Формирование куста путем удаления лишних побегов,Ortiqcha novdalarni olib tashlash orqali tup shakllantirish
Defoliation,Дефолиация,Barglarni to‘kish
Formative pruning of fruit trees,Формирующаяобрезка плодовых деревьев,Mevali daraxtlarni shakllantiruvchi kesish
Grafting and re-grafting of varieties,Прививка и перепрививка сортов,Navlarni payvandlash va qayta payvandlash
Frost protection by smoking,Защита от заморозков дымлением,Tutun bilan sovuqdan himoyalash
Yield regulation,Нормирование урожая,Hosilni me’yorlash
Pruning of vines,Обрезка лоз,Tok novdalarini kesish
Shrub formation,Формирование кустов,Tokni shakllantirish
Tying shoots to trellises,Подвязка побегов к шпалере,Novdalarni shpalerga bog‘lash
Hammering,Чеканка,Uchini chiqarish
Suckering,Пасынкование,Barg qo‘ltiqlaridagi novdalarni olib tashlash
Rolling,Катаровка,Ildiz bo‘g‘zini ochish
Mechanized harvesting with combines,Механизированная уборка комбайнами,Kombaynlar yordamida mexanizatsiyalashtirilgan yig‘im-terim
Manual harvesting,Ручная уборка,Qo‘lda terib olish
Application of organic fertilizers,Внесение органических удобрений,Organik o‘g‘itlar solish
Application of mineral fertilizers,Применение минеральных удобрений,Mineral o‘g‘itlardan foydalanish
Sowing green manure crops,Посев сидеральных культур,Siderat ekinlarni ekish
Gypsum treatment of saline soils,Гипсование солонцеватых почв,Sho‘rtob tuproqlarni gipslash
